Area_Code,Zone,Day,Start_Time,End_Time,Mode,Setpoint
A001,Cor,FRI,11:00,00:00:00,Heating,23
A001,Cor,MON,11:00,00:00:00,Heating,23
A001,Cor,SAT,11:00,00:00:00,Heating,23
A001,Cor,SUN,11:00,00:00:00,Heating,23
A001,Cor,THU,11:00,00:00:00,Heating,23
A001,Cor,TUE,11:00,00:00:00,Heating,23
A001,Cor,WED,11:00,00:00:00,Heating,23
A002,Sou,FRI,12:00,18:15,Heating,20
A002,Sou,MON,12:00,18:15,Heating,20
A002,Sou,SAT,12:00,18:15,Heating,20
A002,Sou,SUN,12:00,18:15,Heating,20
A002,Sou,THU,12:00,18:15,Heating,20
A002,Sou,TUE,12:00,18:15,Heating,20
A002,Sou,WED,12:00,18:15,Heating,20
A003,Nor,FRI,09:00,00:00:00,Heating,19.5
A003,Nor,MON,09:00,00:00:00,Heating,19.5
A003,Nor,SAT,09:00,00:00:00,Heating,19.5
A003,Nor,SUN,09:00,00:00:00,Heating,19.5
A003,Nor,THU,09:00,00:00:00,Heating,19.5
A003,Nor,TUE,09:00,00:00:00,Heating,19.5
A003,Nor,WED,09:00,00:00:00,Heating,21
